account_id,district_id,frequency,date
128,2,POPLATEKMESICNE,930219
3168,39,POPLATEKMESICNE,930220
4937,12,POPLATEKMESICNE,930220
2124,69,POPLATEKMESICNE,930220
322,1,POPLATEKMESICNE,930220
4355,31,POPLATEKMESICNE,930221
1678,1,POPLATEKMESICNE,930222
2396,2,POPLATEKMESICNE,930222
1005,54,POPLATEKTYDNE,930223
697,28,POPLATEKMESICNE,930223
925,59,POPLATEKMESICNE,930223
2110,64,POPLATEKMESICNE,930223
1366,60,POPLATEKMESICNE,930224
1050,57,POPLATEKPOOBRATU,930224
3117,33,POPLATEKMESICNE,930224
562,50,POPLATEKMESICNE,930225
5369,54,POPLATEKMESICNE,930225
2242,7,POPLATEKTYDNE,930225
197,1,POPLATEKMESICNE,930225
496,69,POPLATEKMESICNE,930226
2,1,POPLATEKMESICNE,930226
7401,1,POPLATEKMESICNE,930226
2486,1,POPLATEKMESICNE,930227
428,1,POPLATEKMESICNE,930227
3651,23,POPLATEKMESICNE,930227
1775,17,POPLATEKMESICNE,930227
1688,70,POPLATEKMESICNE,930227
361,51,POPLATEKMESICNE,930227
1829,43,POPLATEKMESICNE,930227
1575,1,POPLATEKMESICNE,930227
9203,70,POPLATEKMESICNE,930227
3008,72,POPLATEKMESICNE,930227
239,69,POPLATEKTYDNE,930301
3302,21,POPLATEKMESICNE,930302
415,25,POPLATEKMESICNE,930303
3513,20,POPLATEKMESICNE,930303
4134,7,POPLATEKMESICNE,930303
1077,14,POPLATEKMESICNE,930303
1713,43,POPLATEKMESICNE,930303
1378,59,POPLATEKMESICNE,930304
2503,1,POPLATEKMESICNE,930305
559,46,POPLATEKMESICNE,930305
6555,38,POPLATEKTYDNE,930305
744,42,POPLATEKMESICNE,930306
882,9,POPLATEKMESICNE,930306
86,54,POPLATEKMESICNE,930307
1126,56,POPLATEKMESICNE,930308
2666,49,POPLATEKMESICNE,930308
944,70,POPLATEKMESICNE,930308
1545,1,POPLATEKMESICNE,930308
2453,1,POPLATEKMESICNE,930308
3734,43,POPLATEKMESICNE,930308
3935,23,POPLATEKMESICNE,930308
396,21,POPLATEKMESICNE,930308
2694,7,POPLATEKMESICNE,930308
4596,74,POPLATEKMESICNE,930309
2489,72,POPLATEKMESICNE,930309
2895,19,POPLATEKMESICNE,930309
317,76,POPLATEKMESICNE,930310
2555,53,POPLATEKMESICNE,930310
494,60,POPLATEKMESICNE,930311
2219,60,POPLATEKMESICNE,930311
2581,72,POPLATEKMESICNE,930311
112,6,POPLATEKMESICNE,930312
3674,38,POPLATEKMESICNE,930312
2039,44,POPLATEKMESICNE,930312
2712,9,POPLATEKMESICNE,930312
395,1,POPLATEKMESICNE,930312
2974,9,POPLATEKMESICNE,930313
123,21,POPLATEKMESICNE,930313
9640,1,POPLATEKMESICNE,930313
3108,53,POPLATEKMESICNE,930314
2508,34,POPLATEKMESICNE,930314
2458,40,POPLATEKTYDNE,930314
588,66,POPLATEKMESICNE,930314
7231,10,POPLATEKMESICNE,930314
6701,49,POPLATEKTYDNE,930315
3883,72,POPLATEKMESICNE,930315
222,37,POPLATEKMESICNE,930315
2497,65,POPLATEKMESICNE,930316
1372,1,POPLATEKMESICNE,930316
3835,50,POPLATEKMESICNE,930316
7445,64,POPLATEKMESICNE,930318
2527,38,POPLATEKMESICNE,930319
425,9,POPLATEKMESICNE,930319
860,1,POPLATEKMESICNE,930319
6034,6,POPLATEKTYDNE,930319
11065,11,POPLATEKMESICNE,930319
9883,1,POPLATEKMESICNE,930319
115,68,POPLATEKMESICNE,930319
1189,59,POPLATEKMESICNE,930319
3675,64,POPLATEKMESICNE,930320
3069,66,POPLATEKMESICNE,930320
2762,19,POPLATEKMESICNE,930320
892,70,POPLATEKMESICNE,930320
1535,46,POPLATEKMESICNE,930320
2618,60,POPLATEKMESICNE,930321
2651,2,POPLATEKMESICNE,930321
5442,34,POPLATEKMESICNE,930322
1787,30,POPLATEKTYDNE,930322
1397,17,POPLATEKMESICNE,930322
3785,10,POPLATEKMESICNE,930324
623,1,POPLATEKMESICNE,930324
8260,31,POPLATEKMESICNE,930324
3678,1,POPLATEKMESICNE,930324
3001,1,POPLATEKMESICNE,930324
655,53,POPLATEKMESICNE,930324
4093,1,POPLATEKMESICNE,930325
3260,68,POPLATEKMESICNE,930325
2528,65,POPLATEKMESICNE,930325
2011,75,POPLATEKMESICNE,930325
1721,68,POPLATEKMESICNE,930325
1332,59,POPLATEKMESICNE,930325
1402,74,POPLATEKMESICNE,930326
3283,68,POPLATEKMESICNE,930326
3781,31,POPLATEKMESICNE,930326
7203,71,POPLATEKMESICNE,930326
1065,72,POPLATEKMESICNE,930327
3076,54,POPLATEKMESICNE,930327
4347,1,POPLATEKMESICNE,930327
1157,7,POPLATEKMESICNE,930327
9403,1,POPLATEKTYDNE,930327
1874,9,POPLATEKMESICNE,930327
1115,34,POPLATEKMESICNE,930327
3586,59,POPLATEKMESICNE,930327
62,47,POPLATEKMESICNE,930328
1771,69,POPLATEKMESICNE,930328
5483,13,POPLATEKMESICNE,930328
8330,48,POPLATEKMESICNE,930328
187,5,POPLATEKMESICNE,930328
423,12,POPLATEKMESICNE,930328
6425,31,POPLATEKMESICNE,930329
2493,62,POPLATEKMESICNE,930329
2896,29,POPLATEKMESICNE,930330
2245,29,POPLATEKMESICNE,930330
3923,52,POPLATEKMESICNE,930330
1898,70,POPLATEKMESICNE,930401
3367,1,POPLATEKMESICNE,930401
3391,74,POPLATEKMESICNE,930401
8519,23,POPLATEKMESICNE,930402
1780,1,POPLATEKMESICNE,930402
3915,65,POPLATEKMESICNE,930402
3980,75,POPLATEKMESICNE,930403
4350,63,POPLATEKMESICNE,930404
686,41,POPLATEKMESICNE,930404
362,15,POPLATEKMESICNE,930404
299,77,POPLATEKMESICNE,930405
2488,5,POPLATEKMESICNE,930406
2985,71,POPLATEKMESICNE,930406
385,5,POPLATEKMESICNE,930407
2817,56,POPLATEKMESICNE,930407
2056,58,POPLATEKMESICNE,930407
2002,1,POPLATEKMESICNE,930408
748,10,POPLATEKMESICNE,930408
220,72,POPLATEKMESICNE,930409
1422,68,POPLATEKMESICNE,930409
1147,44,POPLATEKMESICNE,930410
3788,70,POPLATEKMESICNE,930410
1891,32,POPLATEKMESICNE,930410
1239,1,POPLATEKMESICNE,930410
8321,77,POPLATEKMESICNE,930412
3213,51,POPLATEKMESICNE,930412
2838,3,POPLATEKTYDNE,930413
3644,38,POPLATEKMESICNE,930413
4318,33,POPLATEKTYDNE,930413
2648,51,POPLATEKMESICNE,930413
2313,26,POPLATEKTYDNE,930413
5428,24,POPLATEKMESICNE,930414
7123,64,POPLATEKPOOBRATU,930414
279,39,POPLATEKMESICNE,930414
104,37,POPLATEKMESICNE,930415
497,55,POPLATEKMESICNE,930415
1152,45,POPLATEKMESICNE,930415
83,26,POPLATEKMESICNE,930416
2008,52,POPLATEKMESICNE,930416
3327,45,POPLATEKMESICNE,930416
5740,43,POPLATEKMESICNE,930416
8132,5,POPLATEKTYDNE,930417
10738,45,POPLATEKTYDNE,930417
2216,74,POPLATEKMESICNE,930417
1815,66,POPLATEKMESICNE,930417
2823,57,POPLATEKMESICNE,930418
4321,47,POPLATEKMESICNE,930418
1773,33,POPLATEKMESICNE,930419
7454,4,POPLATEKMESICNE,930419
188,54,POPLATEKMESICNE,930420
10973,18,POPLATEKTYDNE,930420
2599,48,POPLATEKMESICNE,930420
1166,11,POPLATEKMESICNE,930421
504,73,POPLATEKMESICNE,930421
1518,67,POPLATEKMESICNE,930421
2189,75,POPLATEKMESICNE,930422
6040,1,POPLATEKMESICNE,930422
2876,52,POPLATEKMESICNE,930422
1505,69,POPLATEKMESICNE,930423
6897,48,POPLATEKMESICNE,930423
4377,28,POPLATEKMESICNE,930424
717,75,POPLATEKMESICNE,930424
9707,70,POPLATEKMESICNE,930424
2814,72,POPLATEKMESICNE,930425
3068,59,POPLATEKMESICNE,930425
1476,61,POPLATEKMESICNE,930426
897,38,POPLATEKMESICNE,930426
977,1,POPLATEKMESICNE,930426
2639,17,POPLATEKMESICNE,930426
1032,11,POPLATEKMESICNE,930426
928,20,POPLATEKMESICNE,930426
168,31,POPLATEKMESICNE,930427
2175,1,POPLATEKMESICNE,930427
10105,55,POPLATEKMESICNE,930428
1392,60,POPLATEKMESICNE,930428
3697,45,POPLATEKMESICNE,930429
5313,40,POPLATEKMESICNE,930429
2222,47,POPLATEKMESICNE,930501
2641,7,POPLATEKMESICNE,930502
5423,15,POPLATEKMESICNE,930502
2609,73,POPLATEKMESICNE,930503
5472,1,POPLATEKMESICNE,930504
2932,72,POPLATEKMESICNE,930504
4254,70,POPLATEKMESICNE,930504
3965,31,POPLATEKMESICNE,930504
10656,8,POPLATEKMESICNE,930505
887,1,POPLATEKMESICNE,930505
4743,64,POPLATEKMESICNE,930505
1048,35,POPLATEKMESICNE,930505
1671,6,POPLATEKMESICNE,930505
1236,19,POPLATEKMESICNE,930505
1822,30,POPLATEKMESICNE,930505
3316,28,POPLATEKMESICNE,930506
2037,20,POPLATEKMESICNE,930506
10079,62,POPLATEKMESICNE,930506
3999,35,POPLATEKMESICNE,930506
551,77,POPLATEKMESICNE,930507
1200,33,POPLATEKMESICNE,930507
1161,66,POPLATEKMESICNE,930508
5372,48,POPLATEKMESICNE,930508
3050,60,POPLATEKMESICNE,930508
1784,59,POPLATEKMESICNE,930508
1603,1,POPLATEKMESICNE,930509
1887,68,POPLATEKMESICNE,930509
1644,1,POPLATEKMESICNE,930509
1658,73,POPLATEKMESICNE,930510
44,32,POPLATEKMESICNE,930510
1039,70,POPLATEKTYDNE,930510
1071,68,POPLATEKTYDNE,930510
2410,54,POPLATEKMESICNE,930511
2523,10,POPLATEKMESICNE,930511
790,54,POPLATEKMESICNE,930511
2583,62,POPLATEKMESICNE,930511
1782,8,POPLATEKMESICNE,930512
751,3,POPLATEKMESICNE,930512
2061,24,POPLATEKMESICNE,930512
8261,13,POPLATEKMESICNE,930512
2321,35,POPLATEKMESICNE,930513
1334,74,POPLATEKMESICNE,930514
3649,54,POPLATEKMESICNE,930514
555,24,POPLATEKMESICNE,930515
3173,39,POPLATEKMESICNE,930515
863,71,POPLATEKMESICNE,930516
3181,42,POPLATEKMESICNE,930516
3210,1,POPLATEKMESICNE,930517
489,16,POPLATEKMESICNE,930517
947,59,POPLATEKMESICNE,930517
3284,64,POPLATEKMESICNE,930517
1610,52,POPLATEKMESICNE,930517
4225,55,POPLATEKMESICNE,930518
1412,64,POPLATEKMESICNE,930518
1937,36,POPLATEKMESICNE,930518
991,39,POPLATEKMESICNE,930518
1180,20,POPLATEKMESICNE,930519
2758,70,POPLATEKMESICNE,930519
2711,58,POPLATEKMESICNE,930519
1652,74,POPLATEKMESICNE,930520
3099,70,POPLATEKMESICNE,930520
11111,1,POPLATEKMESICNE,930520
9591,74,POPLATEKMESICNE,930520
9828,11,POPLATEKMESICNE,930520
5385,44,POPLATEKTYDNE,930521
23,30,POPLATEKMESICNE,930522
2645,54,POPLATEKMESICNE,930522
2991,19,POPLATEKMESICNE,930522
3469,76,POPLATEKMESICNE,930522
1851,55,POPLATEKMESICNE,930523
3844,67,POPLATEKMESICNE,930523
1442,23,POPLATEKMESICNE,930523
3064,40,POPLATEKMESICNE,930523
3558,4,POPLATEKMESICNE,930523
1534,1,POPLATEKMESICNE,930524
334,1,POPLATEKMESICNE,930524
1786,1,POPLATEKMESICNE,930525
1272,40,POPLATEKTYDNE,930525
2436,67,POPLATEKMESICNE,930525
3796,53,POPLATEKMESICNE,930525
119,27,POPLATEKMESICNE,930525
3063,72,POPLATEKMESICNE,930526
18,43,POPLATEKTYDNE,930526
11320,44,POPLATEKMESICNE,930526
3888,39,POPLATEKMESICNE,930527
1584,30,POPLATEKMESICNE,930527
5546,43,POPLATEKMESICNE,930528
2029,55,POPLATEKMESICNE,930529
10911,1,POPLATEKTYDNE,930529
2467,33,POPLATEKMESICNE,930529
2962,1,POPLATEKMESICNE,930530
165,25,POPLATEKMESICNE,930601
1617,45,POPLATEKMESICNE,930601
327,54,POPLATEKMESICNE,930602
2068,21,POPLATEKMESICNE,930602
4448,60,POPLATEKMESICNE,930602
640,32,POPLATEKMESICNE,930602
510,1,POPLATEKTYDNE,930602
2534,61,POPLATEKMESICNE,930603
1018,7,POPLATEKMESICNE,930603
1285,65,POPLATEKMESICNE,930604
3670,27,POPLATEKMESICNE,930604
1743,51,POPLATEKMESICNE,930604
3072,8,POPLATEKMESICNE,930605
2146,31,POPLATEKMESICNE,930605
4576,27,POPLATEKMESICNE,930605
3258,53,POPLATEKMESICNE,930605
2176,67,POPLATEKMESICNE,930606
8934,51,POPLATEKMESICNE,930606
1999,70,POPLATEKMESICNE,930606
2741,15,POPLATEKMESICNE,930607
4427,32,POPLATEKMESICNE,930607
3682,70,POPLATEKMESICNE,930607
2862,33,POPLATEKMESICNE,930607
3032,5,POPLATEKMESICNE,930607
701,69,POPLATEKMESICNE,930608
6281,56,POPLATEKMESICNE,930608
306,16,POPLATEKMESICNE,930608
1207,67,POPLATEKMESICNE,930608
1247,25,POPLATEKMESICNE,930608
5343,64,POPLATEKMESICNE,930608
5129,68,POPLATEKMESICNE,930608
3713,14,POPLATEKTYDNE,930608
2327,19,POPLATEKMESICNE,930608
774,1,POPLATEKMESICNE,930608
1990,1,POPLATEKMESICNE,930609
2388,30,POPLATEKMESICNE,930609
3566,21,POPLATEKMESICNE,930609
10266,54,POPLATEKMESICNE,930610
3771,22,POPLATEKMESICNE,930611
1978,57,POPLATEKTYDNE,930611
2022,72,POPLATEKMESICNE,930611
3542,49,POPLATEKMESICNE,930611
1515,11,POPLATEKMESICNE,930611
4171,28,POPLATEKMESICNE,930612
433,20,POPLATEKMESICNE,930612
1373,47,POPLATEKMESICNE,930612
3246,54,POPLATEKMESICNE,930614
1475,1,POPLATEKTYDNE,930614
3133,66,POPLATEKMESICNE,930614
2779,73,POPLATEKMESICNE,930615
135,75,POPLATEKMESICNE,930615
446,50,POPLATEKMESICNE,930615
9093,47,POPLATEKMESICNE,930616
432,46,POPLATEKMESICNE,930616
2880,71,POPLATEKMESICNE,930616
5767,72,POPLATEKMESICNE,930616
1998,1,POPLATEKMESICNE,930617
2554,36,POPLATEKMESICNE,930618
2933,10,POPLATEKMESICNE,930618
773,15,POPLATEKMESICNE,930619
4894,14,POPLATEKMESICNE,930620
3969,39,POPLATEKMESICNE,930620
1277,31,POPLATEKMESICNE,930620
5120,1,POPLATEKMESICNE,930621
738,34,POPLATEKMESICNE,930621
1299,1,POPLATEKMESICNE,930621
148,8,POPLATEKMESICNE,930621
899,72,POPLATEKMESICNE,930621
3521,75,POPLATEKMESICNE,930622
3786,21,POPLATEKMESICNE,930622
886,1,POPLATEKMESICNE,930623
5228,77,POPLATEKPOOBRATU,930623
702,12,POPLATEKMESICNE,930623
300,1,POPLATEKMESICNE,930623
1451,64,POPLATEKMESICNE,930624
2940,54,POPLATEKMESICNE,930624
1837,23,POPLATEKMESICNE,930624
3954,22,POPLATEKMESICNE,930625
885,1,POPLATEKMESICNE,930625
2697,8,POPLATEKMESICNE,930626
8129,45,POPLATEKMESICNE,930626
1930,3,POPLATEKMESICNE,930627
2411,69,POPLATEKMESICNE,930627
3775,19,POPLATEKMESICNE,930627
9034,1,POPLATEKMESICNE,930628
902,74,POPLATEKMESICNE,930629
630,71,POPLATEKMESICNE,930629
3096,68,POPLATEKMESICNE,930629
2552,52,POPLATEKMESICNE,930701
3435,59,POPLATEKMESICNE,930701
5215,55,POPLATEKMESICNE,930701
36,1,POPLATEKMESICNE,930701
2687,76,POPLATEKMESICNE,930701
1861,54,POPLATEKMESICNE,930702
2464,33,POPLATEKPOOBRATU,930702
2736,72,POPLATEKMESICNE,930702
1145,31,POPLATEKMESICNE,930703
2298,31,POPLATEKMESICNE,930703
929,54,POPLATEKMESICNE,930703
381,68,POPLATEKMESICNE,930704
3778,52,POPLATEKMESICNE,930704
1118,48,POPLATEKMESICNE,930704
4352,2,POPLATEKMESICNE,930705
1322,17,POPLATEKMESICNE,930705
1852,35,POPLATEKMESICNE,930705
8173,11,POPLATEKMESICNE,930705
2705,63,POPLATEKPOOBRATU,930705
9472,1,POPLATEKTYDNE,930706
368,77,POPLATEKMESICNE,930706
1425,76,POPLATEKMESICNE,930706
8027,44,POPLATEKTYDNE,930707
3261,1,POPLATEKMESICNE,930707
35,75,POPLATEKMESICNE,930707
2186,63,POPLATEKMESICNE,930707
1566,73,POPLATEKMESICNE,930707
78,74,POPLATEKMESICNE,930707
3939,70,POPLATEKMESICNE,930708
2584,50,POPLATEKMESICNE,930708
2336,39,POPLATEKMESICNE,930708
2078,62,POPLATEKMESICNE,930708
3882,10,POPLATEKMESICNE,930709
4159,74,POPLATEKMESICNE,930709
907,41,POPLATEKMESICNE,930709
1411,54,POPLATEKMESICNE,930709
1684,32,POPLATEKTYDNE,930710
3748,1,POPLATEKMESICNE,930710
2213,68,POPLATEKMESICNE,930711
1062,6,POPLATEKMESICNE,930711
273,24,POPLATEKPOOBRATU,930711
10320,68,POPLATEKMESICNE,930711
1416,66,POPLATEKTYDNE,930712
3277,36,POPLATEKMESICNE,930712
1892,28,POPLATEKMESICNE,930713
3413,70,POPLATEKMESICNE,930713
3654,47,POPLATEKMESICNE,930713
3000,28,POPLATEKMESICNE,930714
3955,64,POPLATEKMESICNE,930714
1544,69,POPLATEKMESICNE,930714
9703,68,POPLATEKMESICNE,930715
234,73,POPLATEKMESICNE,930715
3241,44,POPLATEKMESICNE,930716
3465,1,POPLATEKMESICNE,930716
3152,1,POPLATEKMESICNE,930716
1497,1,POPLATEKMESICNE,930716
3078,1,POPLATEKMESICNE,930716
400,28,POPLATEKMESICNE,930717
1902,50,POPLATEKTYDNE,930717
757,50,POPLATEKMESICNE,930719
1116,1,POPLATEKMESICNE,930720
5700,42,POPLATEKMESICNE,930720
3267,64,POPLATEKMESICNE,930721
3222,4,POPLATEKMESICNE,930721
408,41,POPLATEKMESICNE,930721
2818,40,POPLATEKMESICNE,930721
6273,38,POPLATEKMESICNE,930721
2513,70,POPLATEKMESICNE,930722
3493,63,POPLATEKMESICNE,930722
1201,61,POPLATEKMESICNE,930723
4478,70,POPLATEKMESICNE,930723
2915,57,POPLATEKMESICNE,930723
9833,20,POPLATEKMESICNE,930724
2253,74,POPLATEKMESICNE,930724
1069,70,POPLATEKMESICNE,930724
207,2,POPLATEKMESICNE,930725
3212,70,POPLATEKMESICNE,930725
4035,1,POPLATEKMESICNE,930725
1268,74,POPLATEKMESICNE,930725
3287,18,POPLATEKMESICNE,930726
6226,74,POPLATEKTYDNE,930726
2123,64,POPLATEKMESICNE,930726
3982,26,POPLATEKMESICNE,930727
2701,71,POPLATEKMESICNE,930727
3629,48,POPLATEKMESICNE,930727
2841,71,POPLATEKMESICNE,930727
563,53,POPLATEKMESICNE,930727
2732,5,POPLATEKMESICNE,930727
1297,70,POPLATEKMESICNE,930727
7485,39,POPLATEKMESICNE,930728
2088,4,POPLATEKMESICNE,930728
225,1,POPLATEKMESICNE,930728
1630,72,POPLATEKMESICNE,930728
403,1,POPLATEKMESICNE,930729
445,63,POPLATEKTYDNE,930729
186,1,POPLATEKTYDNE,930729
3720,36,POPLATEKMESICNE,930730
574,70,POPLATEKMESICNE,930730
1429,57,POPLATEKMESICNE,930730
3580,43,POPLATEKMESICNE,930801
7819,38,POPLATEKMESICNE,930801
759,23,POPLATEKMESICNE,930801
6363,74,POPLATEKMESICNE,930801
3738,51,POPLATEKMESICNE,930801
4000,7,POPLATEKMESICNE,930802
9041,1,POPLATEKMESICNE,930803
2620,22,POPLATEKMESICNE,930803
3609,28,POPLATEKMESICNE,930803
1382,48,POPLATEKMESICNE,930803
930,41,POPLATEKMESICNE,930803
1925,12,POPLATEKMESICNE,930803
1834,62,POPLATEKMESICNE,930803
1507,35,POPLATEKMESICNE,930803
7857,75,POPLATEKMESICNE,930804
6636,72,POPLATEKTYDNE,930804
601,29,POPLATEKMESICNE,930804
3298,29,POPLATEKMESICNE,930804
2938,1,POPLATEKMESICNE,930804
2199,1,POPLATEKMESICNE,930804
3745,5,POPLATEKMESICNE,930804
3699,50,POPLATEKMESICNE,930805
816,52,POPLATEKMESICNE,930805
3656,53,POPLATEKMESICNE,930806
2038,42,POPLATEKMESICNE,930806
2542,21,POPLATEKMESICNE,930807
1136,12,POPLATEKMESICNE,930807
1589,37,POPLATEKMESICNE,930807
3136,69,POPLATEKMESICNE,930807
3547,54,POPLATEKMESICNE,930807
26,52,POPLATEKMESICNE,930808
657,47,POPLATEKMESICNE,930808
3538,58,POPLATEKMESICNE,930808
2167,16,POPLATEKMESICNE,930808
3127,66,POPLATEKMESICNE,930808
47,45,POPLATEKMESICNE,930808
3850,8,POPLATEKMESICNE,930809
5366,70,POPLATEKMESICNE,930809
747,39,POPLATEKMESICNE,930809
3166,71,POPLATEKMESICNE,930810
11021,1,POPLATEKMESICNE,930810
1701,1,POPLATEKMESICNE,930810
3613,43,POPLATEKMESICNE,930810
3600,27,POPLATEKMESICNE,930810
3792,10,POPLATEKMESICNE,930811
523,1,POPLATEKMESICNE,930811
3808,38,POPLATEKMESICNE,930811
1401,1,POPLATEKMESICNE,930812
541,61,POPLATEKMESICNE,930812
1023,21,POPLATEKMESICNE,930813
3683,33,POPLATEKMESICNE,930813
3220,29,POPLATEKMESICNE,930814
